Name M500c(10^14*M_sun) R500c(kpc) z
G028.89+60.13 4.47 1133.8 0.1530
G031.93+78.71 2.72 973.8 0.0724
G033.81+77.18 4.46 1150.2 0.0622
G040.03+74.95 2.34 927.8 0.0612
G040.58+77.12 2.57 955.2 0.0748
G041.45+29.10 5.41 1203.1 0.1780
G042.81+56.61 4.22 1127.4 0.0723
G044.20+48.66 8.77 1434.7 0.0894
G046.88+56.48 5.10 1192.5 0.1145
G048.10+57.16 3.54 1062.3 0.0777
G049.22+30.87 5.90 1241.3 0.1644
G049.32+44.37 3.76 1080.4 0.0972
G050.40+31.17 4.22 1110.2 0.1640
G053.53+59.52 5.21 1201.3 0.1130
G056.77+36.32 4.34 1133.7 0.0953
G057.61+34.93 3.70 1077.6 0.0802
G057.78+52.32 2.32 924.6 0.0654
G057.92+27.64 2.66 966.1 0.0757
G062.46-21.35 4.11 1100.9 0.1615
G066.68+68.44 3.80 1072.2 0.1630
G067.17+67.46 7.14 1321.2 0.1712
G067.52+34.75 4.49 1131.1 0.1754
G071.63+29.78 4.13 1103.7 0.1565
G077.90-26.63 4.99 1177.4 0.1470
G080.16+57.65 2.51 945.4 0.0878
G080.41-33.24 3.77 1079.6 0.1072
G083.86+85.09 4.74 1150.2 0.1832
G085.98+26.69 4.17 1102.9 0.1790
G094.69+26.36 3.08 999.8 0.1623
G098.44+56.59 2.83 977.1 0.1318
G099.48+55.60 2.75 972.2 0.1051
G105.55+77.21 2.20 907.4 0.0720
G111.75+70.37 4.34 1116.9 0.1830
G113.29-29.69 3.57 1060.1 0.1073
G114.79-33.71 3.79 1083.8 0.0940
G124.20-36.48 7.25 1322.0 0.1971
G149.39-36.84 5.35 1200.3 0.1700
G172.74+65.30 2.39 931.7 0.0794
