#... Cluster ID are referred to Magneticum Box2b
#...	    HaloID, M500c [Mo/h], R500c [kpc/h], Mvir [Mo/h]
#... Cluster #1: HaloID(0, 1),1.35e15,1536.5271,1.96e15
#... Cluster #2: HaloID(0, 2),7.51e14,1262.3514,1.48e15
#... Cluster #3: HaloID(0, 3),4.55e14,1068.0947,7.48e14
#... Cluster #4: HaloID(0, 4),3.83e14,1008.51544,6.85e14
#... Cluster #5: HaloID(0, 5),5.82e14,1159.3064,1.13e15
#... The gas density profiles are expressed in unit of cm^-3
#... r/R500c, #1, #2, #3, #4, #5
0.5,0.00060509006,0.000525677,0.0004679413,0.0004925825,0.0005346508
0.5153612,0.0005782581,0.0004998847,0.00044163878,0.00046782955,0.0005276915
0.5311943,0.0005381001,0.0005017369,0.00042096875,0.00045323657,0.00048783963
0.5475139,0.0005087095,0.00046629558,0.00040864976,0.00042148159,0.00045793445
0.56433487,0.00047727293,0.00043224456,0.00038194074,0.00040515795,0.00043077435
0.58167255,0.00043806175,0.00042063335,0.00036841023,0.0003923569,0.00040675
0.599543,0.00040952573,0.00040532925,0.00034531378,0.0003762164,0.00038668982
0.61796236,0.00038735074,0.000379709,0.0003327132,0.00034629038,0.0003684688
0.63694763,0.0003604535,0.00036891765,0.00030659625,0.00032126898,0.0003380364
0.6565162,0.0003327561,0.0003561601,0.000291576,0.00030045514,0.00031962647
0.676686,0.0003051378,0.00033481666,0.0002828854,0.0002901986,0.00030554514
0.6974754,0.00028271796,0.00031888887,0.0002613749,0.00027477878,0.0002928878
0.71890354,0.0002557808,0.00030634023,0.0002487292,0.00025911472,0.00026735515
0.74099,0.0002360902,0.0002867783,0.00022965985,0.00024813984,0.00024611084
0.7637549,0.00021189816,0.00027944104,0.00021684103,0.00023252312,0.00023050769
0.78721935,0.00019055842,0.00025864324,0.00019929264,0.00022230878,0.00021262081
0.8114046,0.0001718153,0.00023993927,0.00018636943,0.00021175557,0.00020053635
