  0.0  0.1  0.2  0.3 
1.0000e-01 5.0634e-01 2.8475e-01 1.4623e-01 8.4948e-02 
2.0000e-01 2.4334e+00 1.5009e+00 9.0419e-01 5.9795e-01 
3.0000e-01 3.5818e+00 2.2802e+00 1.4660e+00 1.0012e+00 
4.0000e-01 4.5871e+00 2.9878e+00 1.9840e+00 1.3673e+00 
5.0000e-01 5.4415e+00 3.5931e+00 2.4248e+00 1.6814e+00 
6.0000e-01 6.0221e+00 4.0165e+00 2.7403e+00 1.9132e+00 
7.0000e-01 6.3242e+00 4.2541e+00 2.9287e+00 2.0600e+00 
8.0000e-01 6.3744e+00 4.3194e+00 2.9972e+00 2.1241e+00 
9.0000e-01 6.2343e+00 4.2496e+00 2.9691e+00 2.1189e+00 
1.0000e+00 5.9829e+00 4.0967e+00 2.8784e+00 2.0664e+00 
1.1000e+00 5.7009e+00 3.9172e+00 2.7642e+00 1.9942e+00 
1.2000e+00 5.4505e+00 3.7552e+00 2.6587e+00 1.9257e+00 
1.3000e+00 5.2636e+00 3.6348e+00 2.5806e+00 1.8751e+00 
1.4000e+00 5.1389e+00 3.5562e+00 2.5308e+00 1.8438e+00 
1.5000e+00 5.0554e+00 3.5056e+00 2.5003e+00 1.8258e+00 
1.6000e+00 5.0047e+00 3.4772e+00 2.4850e+00 1.8186e+00 
1.7000e+00 4.9763e+00 3.4640e+00 2.4803e+00 1.8187e+00 
1.8000e+00 4.9623e+00 3.4604e+00 2.4822e+00 1.8234e+00 
1.9000e+00 4.9550e+00 3.4612e+00 2.4870e+00 1.8300e+00 
2.0000e+00 4.9529e+00 3.4653e+00 2.4939e+00 1.8379e+00 
2.1000e+00 4.9542e+00 3.4715e+00 2.5022e+00 1.8466e+00 
2.2000e+00 4.9573e+00 3.4788e+00 2.5110e+00 1.8557e+00 
2.3000e+00 4.9616e+00 3.4866e+00 2.5200e+00 1.8649e+00 
2.4000e+00 4.9663e+00 3.4946e+00 2.5290e+00 1.8738e+00 
2.5000e+00 4.9698e+00 3.5014e+00 2.5369e+00 1.8819e+00 
2.6000e+00 4.9725e+00 3.5076e+00 2.5442e+00 1.8894e+00 
2.7000e+00 4.9747e+00 3.5131e+00 2.5509e+00 1.8964e+00 
2.8000e+00 4.9763e+00 3.5179e+00 2.5570e+00 1.9028e+00 
2.9000e+00 4.9774e+00 3.5223e+00 2.5627e+00 1.9088e+00 
3.0000e+00 4.9775e+00 3.5257e+00 2.5675e+00 1.9141e+00 
3.1000e+00 4.9772e+00 3.5286e+00 2.5720e+00 1.9190e+00 
3.2000e+00 4.9762e+00 3.5310e+00 2.5759e+00 1.9235e+00 
3.3000e+00 4.9746e+00 3.5327e+00 2.5792e+00 1.9274e+00 
3.4000e+00 4.9725e+00 3.5341e+00 2.5822e+00 1.9311e+00 
3.5000e+00 4.9697e+00 3.5348e+00 2.5846e+00 1.9342e+00 
3.6000e+00 4.9666e+00 3.5352e+00 2.5867e+00 1.9372e+00 
3.7000e+00 4.9629e+00 3.5350e+00 2.5883e+00 1.9396e+00 
3.8000e+00 4.9588e+00 3.5345e+00 2.5896e+00 1.9418e+00 
3.9000e+00 4.9542e+00 3.5336e+00 2.5905e+00 1.9437e+00 
4.0000e+00 4.9492e+00 3.5323e+00 2.5910e+00 1.9452e+00 
4.1000e+00 4.9441e+00 3.5308e+00 2.5914e+00 1.9466e+00 
4.2000e+00 4.9385e+00 3.5289e+00 2.5914e+00 1.9476e+00 
4.3000e+00 4.9329e+00 3.5269e+00 2.5913e+00 1.9486e+00 
4.4000e+00 4.9267e+00 3.5244e+00 2.5907e+00 1.9492e+00 
4.5000e+00 4.9203e+00 3.5217e+00 2.5900e+00 1.9496e+00 
4.6000e+00 4.9137e+00 3.5188e+00 2.5891e+00 1.9498e+00 
4.7000e+00 4.9064e+00 3.5152e+00 2.5876e+00 1.9496e+00 
4.8000e+00 4.8990e+00 3.5116e+00 2.5861e+00 1.9493e+00 
4.9000e+00 4.8915e+00 3.5078e+00 2.5844e+00 1.9488e+00 
5.0000e+00 4.8837e+00 3.5038e+00 2.5825e+00 1.9481e+00 
5.1000e+00 4.8760e+00 3.4997e+00 2.5805e+00 1.9474e+00 
5.2000e+00 4.8681e+00 3.4955e+00 2.5784e+00 1.9465e+00 
5.3000e+00 4.8601e+00 3.4911e+00 2.5761e+00 1.9455e+00 
5.4000e+00 4.8522e+00 3.4868e+00 2.5739e+00 1.9445e+00 
5.5000e+00 4.8439e+00 3.4821e+00 2.5714e+00 1.9432e+00 
5.6000e+00 4.8355e+00 3.4772e+00 2.5687e+00 1.9418e+00 
5.7000e+00 4.8271e+00 3.4724e+00 2.5660e+00 1.9404e+00 
5.8000e+00 4.8186e+00 3.4674e+00 2.5632e+00 1.9389e+00 
5.9000e+00 4.8101e+00 3.4624e+00 2.5603e+00 1.9372e+00 
6.0000e+00 4.8016e+00 3.4574e+00 2.5574e+00 1.9356e+00 
6.1000e+00 4.7931e+00 3.4523e+00 2.5545e+00 1.9339e+00 
6.2000e+00 4.7846e+00 3.4472e+00 2.5514e+00 1.9321e+00 
6.3000e+00 4.7761e+00 3.4420e+00 2.5483e+00 1.9303e+00 
6.4000e+00 4.7676e+00 3.4368e+00 2.5452e+00 1.9284e+00 
6.5000e+00 4.7591e+00 3.4317e+00 2.5421e+00 1.9266e+00 
6.6000e+00 4.7506e+00 3.4264e+00 2.5389e+00 1.9246e+00 
6.7000e+00 4.7421e+00 3.4212e+00 2.5357e+00 1.9226e+00 
6.8000e+00 4.7337e+00 3.4159e+00 2.5324e+00 1.9206e+00 
6.9000e+00 4.7252e+00 3.4107e+00 2.5292e+00 1.9186e+00 
7.0000e+00 4.7169e+00 3.4055e+00 2.5259e+00 1.9165e+00 
7.1000e+00 4.7085e+00 3.4002e+00 2.5226e+00 1.9145e+00 
7.2000e+00 4.7002e+00 3.3950e+00 2.5194e+00 1.9124e+00 
7.3000e+00 4.6919e+00 3.3897e+00 2.5160e+00 1.9103e+00 
7.4000e+00 4.6836e+00 3.3845e+00 2.5127e+00 1.9081e+00 
7.5000e+00 4.6753e+00 3.3793e+00 2.5093e+00 1.9060e+00 
7.6000e+00 4.6671e+00 3.3740e+00 2.5060e+00 1.9038e+00 
7.7000e+00 4.6588e+00 3.3688e+00 2.5026e+00 1.9016e+00 
7.8000e+00 4.6505e+00 3.3634e+00 2.4991e+00 1.8993e+00 
7.9000e+00 4.6422e+00 3.3581e+00 2.4956e+00 1.8971e+00 
8.0000e+00 4.6340e+00 3.3528e+00 2.4922e+00 1.8948e+00 
8.1000e+00 4.6257e+00 3.3475e+00 2.4887e+00 1.8925e+00 
8.2000e+00 4.6175e+00 3.3422e+00 2.4852e+00 1.8902e+00 
8.3000e+00 4.6094e+00 3.3370e+00 2.4818e+00 1.8879e+00 
8.4000e+00 4.6013e+00 3.3317e+00 2.4783e+00 1.8856e+00 
8.5000e+00 4.5932e+00 3.3265e+00 2.4748e+00 1.8832e+00 
8.6000e+00 4.5852e+00 3.3212e+00 2.4713e+00 1.8809e+00 
8.7000e+00 4.5772e+00 3.3160e+00 2.4679e+00 1.8786e+00 
8.8000e+00 4.5692e+00 3.3108e+00 2.4643e+00 1.8762e+00 
8.9000e+00 4.5612e+00 3.3056e+00 2.4608e+00 1.8738e+00 
9.0000e+00 4.5533e+00 3.3004e+00 2.4573e+00 1.8714e+00 
9.1000e+00 4.5453e+00 3.2951e+00 2.4538e+00 1.8691e+00 
9.2000e+00 4.5376e+00 3.2900e+00 2.4504e+00 1.8667e+00 
9.3000e+00 4.5299e+00 3.2850e+00 2.4470e+00 1.8644e+00 
9.4000e+00 4.5222e+00 3.2799e+00 2.4435e+00 1.8620e+00 
9.5000e+00 4.5146e+00 3.2748e+00 2.4401e+00 1.8597e+00 
9.6000e+00 4.5069e+00 3.2697e+00 2.4367e+00 1.8574e+00 
9.7000e+00 4.4993e+00 3.2647e+00 2.4332e+00 1.8550e+00 
9.8000e+00 4.4917e+00 3.2597e+00 2.4298e+00 1.8526e+00 
9.9000e+00 4.4842e+00 3.2547e+00 2.4264e+00 1.8502e+00 
1.0000e+01 4.4767e+00 3.2496e+00 2.4229e+00 1.8479e+00 
1.0100e+01 4.4692e+00 3.2446e+00 2.4195e+00 1.8455e+00 
1.0200e+01 4.4616e+00 3.2396e+00 2.4161e+00 1.8431e+00 
1.0300e+01 4.4543e+00 3.2347e+00 2.4127e+00 1.8407e+00 
1.0400e+01 4.4470e+00 3.2298e+00 2.4093e+00 1.8384e+00 
1.0500e+01 4.4397e+00 3.2249e+00 2.4060e+00 1.8360e+00 
1.0600e+01 4.4325e+00 3.2200e+00 2.4026e+00 1.8337e+00 
1.0700e+01 4.4252e+00 3.2152e+00 2.3992e+00 1.8313e+00 
1.0800e+01 4.4180e+00 3.2103e+00 2.3959e+00 1.8290e+00 
1.0900e+01 4.4108e+00 3.2055e+00 2.3926e+00 1.8266e+00 
1.1000e+01 4.4038e+00 3.2007e+00 2.3893e+00 1.8243e+00 
1.1100e+01 4.3968e+00 3.1960e+00 2.3860e+00 1.8220e+00 
1.1200e+01 4.3898e+00 3.1913e+00 2.3827e+00 1.8197e+00 
1.1300e+01 4.3829e+00 3.1865e+00 2.3794e+00 1.8174e+00 
1.1400e+01 4.3759e+00 3.1818e+00 2.3761e+00 1.8150e+00 
1.1500e+01 4.3689e+00 3.1771e+00 2.3729e+00 1.8127e+00 
1.1600e+01 4.3622e+00 3.1725e+00 2.3697e+00 1.8104e+00 
1.1700e+01 4.3554e+00 3.1679e+00 2.3665e+00 1.8082e+00 
1.1800e+01 4.3487e+00 3.1634e+00 2.3633e+00 1.8059e+00 
1.1900e+01 4.3420e+00 3.1588e+00 2.3601e+00 1.8036e+00 
1.2000e+01 4.3353e+00 3.1542e+00 2.3569e+00 1.8014e+00 
1.2100e+01 4.3285e+00 3.1496e+00 2.3537e+00 1.7991e+00 
1.2200e+01 4.3219e+00 3.1451e+00 2.3505e+00 1.7968e+00 
1.2300e+01 4.3154e+00 3.1407e+00 2.3474e+00 1.7946e+00 
1.2400e+01 4.3090e+00 3.1363e+00 2.3443e+00 1.7924e+00 
1.2500e+01 4.3025e+00 3.1319e+00 2.3413e+00 1.7902e+00 
1.2600e+01 4.2961e+00 3.1274e+00 2.3382e+00 1.7879e+00 
1.2700e+01 4.2896e+00 3.1230e+00 2.3351e+00 1.7857e+00 
1.2800e+01 4.2831e+00 3.1186e+00 2.3320e+00 1.7835e+00 
1.2900e+01 4.2763e+00 3.1139e+00 2.3286e+00 1.7811e+00 
1.3000e+01 4.2642e+00 3.1051e+00 2.3221e+00 1.7761e+00 
1.3100e+01 4.2521e+00 3.0963e+00 2.3155e+00 1.7710e+00 
1.3200e+01 4.2400e+00 3.0875e+00 2.3089e+00 1.7660e+00 
1.3300e+01 4.2279e+00 3.0787e+00 2.3023e+00 1.7610e+00 
1.3400e+01 4.2158e+00 3.0699e+00 2.2957e+00 1.7560e+00 
1.3500e+01 4.2037e+00 3.0610e+00 2.2892e+00 1.7509e+00 
1.3600e+01 4.1916e+00 3.0522e+00 2.2826e+00 1.7459e+00 
1.3700e+01 4.1823e+00 3.0455e+00 2.2777e+00 1.7422e+00 
1.3800e+01 4.1767e+00 3.0417e+00 2.2750e+00 1.7403e+00 
1.3900e+01 4.1711e+00 3.0379e+00 2.2723e+00 1.7383e+00 
1.4000e+01 4.1656e+00 3.0341e+00 2.2696e+00 1.7364e+00 
1.4100e+01 4.1600e+00 3.0303e+00 2.2669e+00 1.7345e+00 
1.4200e+01 4.1544e+00 3.0265e+00 2.2642e+00 1.7326e+00 
1.4300e+01 4.1489e+00 3.0226e+00 2.2616e+00 1.7306e+00 
1.4400e+01 4.1433e+00 3.0188e+00 2.2589e+00 1.7287e+00 
1.4500e+01 4.1378e+00 3.0150e+00 2.2562e+00 1.7268e+00 
1.4600e+01 4.1325e+00 3.0114e+00 2.2536e+00 1.7249e+00 
1.4700e+01 4.1271e+00 3.0077e+00 2.2510e+00 1.7230e+00 
1.4800e+01 4.1218e+00 3.0040e+00 2.2484e+00 1.7211e+00 
1.4900e+01 4.1165e+00 3.0003e+00 2.2458e+00 1.7192e+00 
1.5000e+01 4.1111e+00 2.9966e+00 2.2432e+00 1.7174e+00 
1.5100e+01 4.1058e+00 2.9929e+00 2.2406e+00 1.7155e+00 
1.5200e+01 4.1004e+00 2.9892e+00 2.2380e+00 1.7136e+00 
1.5300e+01 4.0951e+00 2.9855e+00 2.2354e+00 1.7117e+00 
1.5400e+01 4.0899e+00 2.9820e+00 2.2329e+00 1.7099e+00 
1.5500e+01 4.0848e+00 2.9784e+00 2.2303e+00 1.7080e+00 
