  0.0  0.1  0.2  0.3 
1.0000e-01 7.4444e-01 4.2001e-01 2.1246e-01 1.2473e-01 
2.0000e-01 3.6759e+00 2.2573e+00 1.3523e+00 8.8655e-01 
3.0000e-01 5.5479e+00 3.5035e+00 2.2370e+00 1.5160e+00 
4.0000e-01 7.2099e+00 4.6596e+00 3.0709e+00 2.0983e+00 
5.0000e-01 8.6190e+00 5.6502e+00 3.7857e+00 2.6035e+00 
6.0000e-01 9.5871e+00 6.3513e+00 4.3042e+00 2.9822e+00 
7.0000e-01 1.0107e+01 6.7564e+00 4.6225e+00 3.2289e+00 
8.0000e-01 1.0221e+01 6.8851e+00 4.7506e+00 3.3458e+00 
9.0000e-01 1.0023e+01 6.7948e+00 4.7229e+00 3.3520e+00 
1.0000e+00 9.6388e+00 6.5669e+00 4.5920e+00 3.2809e+00 
1.1000e+00 9.1978e+00 6.2914e+00 4.4203e+00 3.1754e+00 
1.2000e+00 8.8023e+00 6.0403e+00 4.2597e+00 3.0733e+00 
1.3000e+00 8.5069e+00 5.8536e+00 4.1411e+00 2.9983e+00 
1.4000e+00 8.3103e+00 5.7327e+00 4.0667e+00 2.9529e+00 
1.5000e+00 8.1804e+00 5.6562e+00 4.0224e+00 2.9282e+00 
1.6000e+00 8.1033e+00 5.6151e+00 4.0024e+00 2.9203e+00 
1.7000e+00 8.0623e+00 5.5982e+00 3.9989e+00 2.9239e+00 
1.8000e+00 8.0446e+00 5.5967e+00 4.0058e+00 2.9346e+00 
1.9000e+00 8.0378e+00 5.6021e+00 4.0171e+00 2.9481e+00 
2.0000e+00 8.0392e+00 5.6126e+00 4.0315e+00 2.9636e+00 
2.1000e+00 8.0459e+00 5.6263e+00 4.0479e+00 2.9803e+00 
2.2000e+00 8.0556e+00 5.6417e+00 4.0652e+00 2.9973e+00 
2.3000e+00 8.0668e+00 5.6578e+00 4.0826e+00 3.0144e+00 
2.4000e+00 8.0787e+00 5.6739e+00 4.0998e+00 3.0310e+00 
2.5000e+00 8.0883e+00 5.6881e+00 4.1151e+00 3.0461e+00 
2.6000e+00 8.0965e+00 5.7011e+00 4.1293e+00 3.0602e+00 
2.7000e+00 8.1037e+00 5.7129e+00 4.1425e+00 3.0734e+00 
2.8000e+00 8.1096e+00 5.7234e+00 4.1544e+00 3.0855e+00 
2.9000e+00 8.1147e+00 5.7331e+00 4.1657e+00 3.0971e+00 
3.0000e+00 8.1180e+00 5.7410e+00 4.1755e+00 3.1072e+00 
3.1000e+00 8.1204e+00 5.7482e+00 4.1845e+00 3.1167e+00 
3.2000e+00 8.1218e+00 5.7542e+00 4.1927e+00 3.1254e+00 
3.3000e+00 8.1219e+00 5.7592e+00 4.1998e+00 3.1332e+00 
3.4000e+00 8.1212e+00 5.7634e+00 4.2063e+00 3.1405e+00 
3.5000e+00 8.1192e+00 5.7664e+00 4.2117e+00 3.1468e+00 
3.6000e+00 8.1165e+00 5.7689e+00 4.2167e+00 3.1528e+00 
3.7000e+00 8.1127e+00 5.7704e+00 4.2207e+00 3.1579e+00 
3.8000e+00 8.1082e+00 5.7713e+00 4.2241e+00 3.1626e+00 
3.9000e+00 8.1028e+00 5.7715e+00 4.2269e+00 3.1668e+00 
4.0000e+00 8.0967e+00 5.7709e+00 4.2290e+00 3.1703e+00 
4.1000e+00 8.0903e+00 5.7701e+00 4.2309e+00 3.1737e+00 
4.2000e+00 8.0830e+00 5.7684e+00 4.2319e+00 3.1763e+00 
4.3000e+00 8.0756e+00 5.7667e+00 4.2330e+00 3.1789e+00 
4.4000e+00 8.0671e+00 5.7639e+00 4.2330e+00 3.1806e+00 
4.5000e+00 8.0583e+00 5.7609e+00 4.2329e+00 3.1822e+00 
4.6000e+00 8.0491e+00 5.7575e+00 4.2324e+00 3.1834e+00 
4.7000e+00 8.0386e+00 5.7528e+00 4.2309e+00 3.1838e+00 
4.8000e+00 8.0281e+00 5.7482e+00 4.2294e+00 3.1842e+00 
4.9000e+00 8.0171e+00 5.7431e+00 4.2275e+00 3.1841e+00 
5.0000e+00 8.0057e+00 5.7375e+00 4.2251e+00 3.1837e+00 
5.1000e+00 7.9943e+00 5.7320e+00 4.2228e+00 3.1833e+00 
5.2000e+00 7.9827e+00 5.7261e+00 4.2201e+00 3.1825e+00 
5.3000e+00 7.9709e+00 5.7200e+00 4.2172e+00 3.1815e+00 
5.4000e+00 7.9590e+00 5.7138e+00 4.2143e+00 3.1805e+00 
5.5000e+00 7.9467e+00 5.7071e+00 4.2109e+00 3.1790e+00 
5.6000e+00 7.9339e+00 5.7000e+00 4.2072e+00 3.1772e+00 
5.7000e+00 7.9212e+00 5.6929e+00 4.2035e+00 3.1754e+00 
5.8000e+00 7.9084e+00 5.6857e+00 4.1996e+00 3.1735e+00 
5.9000e+00 7.8955e+00 5.6782e+00 4.1955e+00 3.1713e+00 
6.0000e+00 7.8826e+00 5.6708e+00 4.1914e+00 3.1692e+00 
6.1000e+00 7.8697e+00 5.6633e+00 4.1873e+00 3.1670e+00 
6.2000e+00 7.8566e+00 5.6555e+00 4.1828e+00 3.1645e+00 
6.3000e+00 7.8436e+00 5.6478e+00 4.1783e+00 3.1619e+00 
6.4000e+00 7.8305e+00 5.6400e+00 4.1739e+00 3.1594e+00 
6.5000e+00 7.8175e+00 5.6322e+00 4.1693e+00 3.1568e+00 
6.6000e+00 7.8044e+00 5.6242e+00 4.1646e+00 3.1539e+00 
6.7000e+00 7.7913e+00 5.6163e+00 4.1598e+00 3.1511e+00 
6.8000e+00 7.7782e+00 5.6083e+00 4.1551e+00 3.1483e+00 
6.9000e+00 7.7652e+00 5.6003e+00 4.1502e+00 3.1454e+00 
